,word,state
169,thinks,B-VP
170,so,B-ADVP
171,.,O
172,Nil,Nil
173,Assistant,B-NP
174,U.S.,I-NP
175,Attorney,I-NP
176,Terry,I-NP
177,Hart,I-NP
178,of,B-PP
179,Dallas,B-NP
180,says,B-VP
181,the,B-NP
182,government,I-NP
183,will,B-VP
184,oppose,I-VP
185,any,B-NP
186,efforts,I-NP
187,to,B-VP
188,bring,I-VP
189,in,B-PRT
190,a,B-NP
191,new,I-NP
192,defense,I-NP
193,Nil,Nil
194,team,I-NP
195,because,B-SBAR
196,it,B-NP
197,would,B-VP
198,delay,I-VP
199,a,B-NP
200,retrial,I-NP
201,.,O
202,Nil,Nil
203,Galveston-Houston,B-NP
204,Co.,I-NP
205,said,B-VP
206,it,B-NP
207,will,B-VP
208,redeem,I-VP
209,all,B-NP
210,"3,950",I-NP
211,shares,I-NP
212,of,B-PP
213,its,B-NP
214,privately,I-NP
215,held,I-NP
216,6.5,I-NP
217,Nil,Nil
218,%,I-NP
219,convertible,I-NP
220,Series,I-NP
221,C,I-NP
222,preferred,I-NP
223,stock,I-NP
224,Nov.,B-NP
225,8,I-NP
226,.,O
227,Nil,Nil
228,On,B-PP
229,a,B-NP
230,$,I-NP
231,"10,000",I-NP
232,investment,I-NP
233,",",O
234,that,B-NP
235,Nil,Nil
236,'s,B-VP
237,a,B-NP
238,difference,I-NP
239,of,B-PP
240,only,B-NP
241,$,I-NP
242,50,I-NP
243,a,B-NP
244,year,I-NP
245,.,O
246,Nil,Nil
247,Neither,O
248,the,B-NP
249,Nil,Nil
250,Amoco,I-NP
251,agreement,I-NP
252,nor,O
253,the,B-NP
254,wells,I-NP
255,existed,B-VP
256,",",O
257,the,B-NP
258,suit,I-NP
259,alleged,B-VP
260,.,O
261,Nil,Nil
262,But,O
263,for,B-PP
264,individuals,B-NP
265,who,B-NP
266,buy,B-VP
267,much,B-NP
268,smaller,I-NP
269,amounts,I-NP
270,and,O
271,care,B-VP
272,less,B-ADVP
273,about,B-PP
274,relative,B-NP
275,performance,I-NP
276,Nil,Nil
277,than,B-PP
278,in,B-PP
279,preserving,B-VP
280,what,B-NP
281,they,B-NP
282,have,B-VP
283,",",O
284,that,B-NP
285,margin,I-NP
286,is,B-VP
287,meaningless,B-ADJP
288,.,O
289,Nil,Nil
290,The,B-NP
291,authorities,I-NP
292,have,B-VP
293,steered,I-VP
294,foreign,B-NP
295,reporters,I-NP
296,to,B-PP
297,her,B-NP
298,office,I-NP
299,Nil,Nil
300,to,B-VP
301,see,I-VP
302,an,B-NP
303,example,I-NP
304,of,B-PP
305,``,O
306,the,B-NP
307,new,I-NP
308,way,I-NP
309,of,B-PP
310,thinking,B-NP
311,.,O
312,'',O
313,Nil,Nil
314,That,B-NP
315,'s,B-VP
316,because,B-SBAR
317,computers,B-NP
318,do,B-VP
319,most,B-NP
320,of,B-PP
321,Nil,Nil
322,the,B-NP
323,work,I-NP
324,",",O
325,and,O
326,low,B-NP
327,trading,I-NP
328,activity,I-NP
329,keeps,B-VP
330,a,B-NP
331,lid,I-NP
332,on,B-PP
333,commission,B-NP
334,costs,I-NP
335,.,O
336,Nil,Nil
337,Nil,Nil
338,Mr.,B-NP
339,Pinola,I-NP
340,is,B-VP
341,president,B-NP
342,and,O
343,chief,B-NP
344,operating,I-NP
345,officer,I-NP
346,of,B-PP
347,Penn,B-NP
348,Mutual,I-NP
349,Life,I-NP
350,Insurance,I-NP
351,Co,I-NP
352,.,O
353,Nil,Nil
354,John,B-NP
355,Uphoff,I-NP
356,",",O
357,an,B-NP
358,analyst,I-NP
359,with,B-PP
360,Raymond,B-NP
361,James,I-NP
362,&,I-NP
363,Associates,I-NP
364,",",O
365,said,B-VP
366,the,B-NP
367,results,I-NP
368,were,B-VP
369,n't,O
370,surprising,B-ADJP
371,",",O
372,and,O
373,attributed,B-VP
374,the,B-NP
375,buy-back,I-NP
376,to,B-PP
377,Nil,Nil
378,management,B-NP
379,'s,B-NP
380,confidence,I-NP
381,in,B-PP
382,the,B-NP
383,Mirage,I-NP
384,'s,B-NP
385,ability,I-NP
386,to,B-VP
387,generate,I-VP
388,strong,B-NP
389,cash,I-NP
390,flow,I-NP
391,in,B-PP
392,1990,B-NP
393,.,O
394,Nil,Nil
395,Raymond,B-NP
396,James,I-NP
397,&,I-NP
398,Associates,I-NP
399,in,B-PP
400,St.,B-NP
401,Petersburg,I-NP
402,",",O
403,Fla.,B-NP
404,",",O
405,Nil,Nil
406,lowered,B-VP
407,its,B-NP
408,third-quarter,I-NP
409,earnings,I-NP
410,estimate,B-NP
411,for,B-PP
412,the,B-NP
413,company,I-NP
414,",",O
415,according,B-PP
416,to,B-PP
417,Dow,B-NP
418,Jones,I-NP
419,Nil,Nil
420,Professional,I-NP
421,Investor,I-NP
422,Report,I-NP
423,.,O
424,Nil,Nil
425,Osborn,B-NP
426,also,B-ADVP
427,operates,B-VP
428,Muzak,B-NP
429,franchises,I-NP
430,",",O
431,entertainment,B-NP
432,properties,I-NP
433,and,O
434,small,B-NP
435,cable-television,I-NP
436,systems,I-NP
437,.,O
438,Nil,Nil
439,Digital,B-NP
440,",",O
441,based,B-VP
442,in,B-PP
443,Maynard,B-NP
444,",",O
445,Mass.,B-NP
446,",",O
447,hopes,B-VP
448,to,I-VP
449,stage,I-VP
450,Nil,Nil
451,a,B-NP
452,repeat,I-NP
453,performance,I-NP
454,in,B-PP
455,mainframes,B-NP
456,",",O
457,and,O
458,it,B-NP
459,has,B-VP
460,spent,I-VP
461,almost,B-NP
462,$,I-NP
463,1,I-NP
464,billion,I-NP
465,developing,B-VP
466,the,B-NP
467,new,I-NP
468,technology,I-NP
469,.,O
470,Nil,Nil
471,He,B-NP
472,also,B-ADVP
473,says,B-VP
474,CompuServe,B-NP
475,'s,B-NP
476,earnings,I-NP
477,continue,B-VP
478,to,I-VP
479,grow,I-VP
480,``,O
481,Nil,Nil
482,20,B-NP
483,%,I-NP
484,to,O
485,30,B-NP
486,%,I-NP
487,a,B-NP
488,year,I-NP
489,'',O
490,in,B-PP
491,spite,B-NP
492,of,B-PP
493,tough,B-NP
494,competition,I-NP
495,from,B-PP
496,giants,B-NP
497,like,B-PP
498,Sears,B-NP
499,and,I-NP
500,IBM,I-NP
501,.,O
502,Nil,Nil
503,The,B-NP
504,Treasury,I-NP
505,plans,B-VP
506,to,I-VP
507,raise,I-VP
508,$,B-NP
509,1.55,I-NP
510,billion,I-NP
511,in,B-PP
512,new,B-NP
513,cash,I-NP
514,Nil,Nil
515,with,B-PP
516,the,B-NP
517,sale,I-NP
518,Monday,B-NP
519,of,B-PP
520,about,B-NP
521,$,I-NP
522,15.6,I-NP
523,billion,I-NP
524,in,B-PP
525,short-term,B-NP
526,bills,I-NP
527,to,B-VP
528,redeem,I-VP
529,$,B-NP
530,14.1,I-NP
531,billion,I-NP
532,in,B-PP
533,maturing,B-NP
534,bills,I-NP
535,.,O
536,Nil,Nil
537,Stocks,B-NP
538,retreated,B-VP
539,to,B-PP
540,session,B-NP
541,lows,I-NP
542,just,B-ADVP
543,after,B-PP
544,the,B-NP
545,opening,I-NP
546,amid,B-PP
547,worries,B-NP
548,about,B-PP
549,Nil,Nil
550,the,B-NP
551,market,I-NP
552,impact,I-NP
553,of,B-PP
554,the,B-NP
555,quake,I-NP
556,",",O
557,but,O
558,quickly,B-VP
559,snapped,I-VP
560,back,B-ADVP
561,to,B-PP
562,higher,B-NP
563,levels,I-NP
564,with,B-PP
565,the,B-NP
566,help,I-NP
567,of,B-PP
568,futures-related,B-NP
569,program,I-NP
570,buying,I-NP
571,.,O
572,Nil,Nil
573,There,B-NP
574,Nil,Nil
575,is,B-VP
576,no,B-NP
577,small,I-NP
578,irony,I-NP
579,in,B-PP
580,the,B-NP
581,fact,I-NP
582,that,B-SBAR
583,some,B-NP
584,of,B-PP
585,the,B-NP
586,most-jingoistic,I-NP
587,advertising,I-NP
588,comes,B-VP
589,courtesy,B-NP
590,of,B-PP
591,--,O
592,you,B-NP
593,guessed,B-VP
594,it,B-NP
595,--,O
596,outsiders,B-NP
597,.,O
598,Nil,Nil
599,The,B-NP
600,Federal,I-NP
601,Election,I-NP
602,Commission,I-NP
603,clears,B-VP
604,Nil,Nil
605,corporate,B-NP
606,plans,I-NP
607,to,B-VP
608,donate,I-VP
609,to,B-PP
610,an,B-NP
611,employee,I-NP
612,'s,B-NP
613,chosen,I-NP
614,charity,I-NP
615,in,B-PP
616,exchange,B-NP
617,for,B-PP
618,the,B-NP
619,worker,I-NP
620,'s,B-NP
621,gift,I-NP
622,to,B-PP
623,the,B-NP
624,company,I-NP
625,political,I-NP
626,action,I-NP
627,committee,I-NP
628,.,O
629,Nil,Nil
630,The,B-NP
631,method,I-NP
632,of,B-PP
633,calculating,B-VP
634,the,B-NP
635,20,I-NP
636,%,I-NP
637,tax,I-NP
638,",",O
639,Nil,Nil
640,paid,B-VP
641,if,B-SBAR
642,it,B-NP
643,exceeds,B-VP
644,tax,B-NP
645,figured,B-VP
646,the,B-NP
647,regular,I-NP
648,way,I-NP
649,",",O
650,is,B-VP
651,due,B-ADJP
652,for,B-PP
653,a,B-NP
654,change,I-NP
655,in,B-PP
656,1990,B-NP
657,",",O
658,thanks,B-NP
659,Nil,Nil
660,to,B-PP
661,1986,B-NP
662,'s,B-NP
663,tax,I-NP
664,act,I-NP
665,.,O
666,Nil,Nil
667,I,B-NP
668,expected,B-VP
669,him,B-NP
670,to,B-VP
671,say,I-VP
672,",",O
673,``,O
674,I,B-NP
675,told,B-VP
676,you,B-NP
677,so,B-ADVP
678,",",O
679,'',O
680,but,O
681,he,B-NP
682,already,B-ADVP
683,was,B-VP
684,snoring,I-VP
685,.,O
686,Nil,Nil
687,Although,B-SBAR
688,the,B-NP
689,East,I-NP
690,German,I-NP
691,news,I-NP
692,agency,I-NP
693,ADN,I-NP
694,claimed,B-VP
695,Mr.,B-NP
696,Honecker,I-NP
697,had,B-VP
698,asked,I-VP
699,to,I-VP
700,be,I-VP
701,relieved,I-VP
702,of,B-PP
703,his,B-NP
704,Nil,Nil
705,duties,I-NP
706,for,B-PP
707,``,O
708,health,B-NP
709,reasons,I-NP
710,",",O
711,'',O
712,West,B-NP
713,German,I-NP
714,government,I-NP
715,sources,I-NP
716,said,B-VP
717,the,B-NP
718,26-man,I-NP
719,Politburo,I-NP
720,had,B-VP
721,asked,I-VP
722,for,B-PP
723,his,B-NP
724,resignation,I-NP
725,at,B-PP
726,a,B-NP
727,separate,I-NP
728,meeting,I-NP
729,late,B-NP
730,Tuesday,I-NP
731,.,O
732,Nil,Nil
733,During,B-PP
734,the,B-NP
735,quarter,I-NP
736,",",O
737,Pfizer,B-NP
738,received,B-VP
739,Nil,Nil
740,federal,B-NP
741,approval,I-NP
742,of,B-PP
743,Procardia,B-NP
744,XL,I-NP
745,",",O
746,a,B-NP
747,calcium,I-NP
748,channel,I-NP
749,blocker,I-NP
750,approved,B-VP
751,for,B-PP
752,both,B-NP
753,angina,I-NP
754,and,I-NP
755,hypertension,I-NP
756,",",O
757,and,O
758,Monorail,B-NP
759,Piccolino,I-NP
760,",",O
761,used,B-VP
762,to,B-VP
763,open,I-VP
764,obstructed,B-NP
765,coronary,I-NP
766,arteries,I-NP
767,.,O
768,Nil,Nil
769,We,B-NP
770,Nil,Nil
771,do,B-VP
772,n't,I-VP
773,want,I-VP
774,to,I-VP
775,be,I-VP
776,party,B-NP
777,to,B-PP
778,a,B-NP
779,second,I-NP
780,rejection,I-NP
781,",",O
782,'',O
783,he,B-NP
784,said,B-VP
785,",",O
786,adding,B-VP
787,that,B-SBAR
788,coming,B-VP
789,up,B-PRT
790,with,B-PP
791,a,B-NP
792,revised,I-NP
793,offer,I-NP
794,Nil,Nil
795,could,B-VP
796,easily,I-VP
797,take,I-VP
798,several,B-NP
799,weeks,I-NP
800,.,O
801,Nil,Nil
802,Law-enforcement,B-NP
803,authorities,I-NP
804,say,B-VP
805,that,B-SBAR
806,at,B-PP
807,any,B-NP
808,given,I-NP
809,time,I-NP
810,",",O
811,a,B-NP
812,host,I-NP
813,of,B-PP
814,fraudulent,B-NP
815,telemarketing,I-NP
816,Nil,Nil
817,operations,I-NP
818,mingle,B-VP
819,with,B-PP
820,the,B-NP
821,many,I-NP
822,legitimate,I-NP
823,businesses,I-NP
824,here,B-ADVP
825,.,O
826,Nil,Nil
827,The,B-NP
828,percentage,I-NP
829,rates,I-NP
830,are,B-VP
831,calculated,I-VP
832,on,B-PP
833,a,B-NP
834,360-day,I-NP
835,year,I-NP
836,",",O
837,while,B-SBAR
838,the,B-NP
839,coupon-equivalent,I-NP
840,yield,I-NP
841,is,B-VP
842,based,I-VP
843,Nil,Nil
844,on,B-PP
845,a,B-NP
846,365-day,I-NP
847,year,I-NP
848,.,O
849,Nil,Nil
850,Neither,B-NP
851,was,B-VP
852,among,B-PP
853,the,B-NP
854,46,I-NP
855,traders,I-NP
856,indicted,B-VP
857,last,B-NP
858,August,I-NP
859,in,B-PP
860,a,B-NP
861,federal,I-NP
862,investigation,I-NP
863,Nil,Nil
864,of,B-PP
865,traders,B-NP
866,at,B-PP
867,both,O
868,the,B-NP
869,Merc,I-NP
870,and,O
871,the,B-NP
872,Chicago,I-NP
873,Board,I-NP
874,of,B-PP
875,Trade,B-NP
876,.,O
877,Nil,Nil
878,A,B-NP
879,spokesman,I-NP
880,for,B-PP
881,Dean,B-NP
882,Witter,I-NP
883,",",O
884,a,B-NP
885,unit,I-NP
886,of,B-PP
887,Nil,Nil
888,Sears,B-NP
889,",",I-NP
890,Roebuck,I-NP
891,&,I-NP
892,Co.,I-NP
893,",",O
894,declined,B-VP
895,to,I-VP
896,comment,I-VP
897,.,O
898,Nil,Nil
899,Nil,Nil
900,``,O
901,By,B-PP
902,populating,B-VP
903,a,B-NP
904,place,I-NP
905,now,B-ADVP
906,",",O
907,we,B-NP
908,make,B-VP
909,Nil,Nil
910,ourselves,B-NP
911,a,B-NP
912,power,I-NP
913,any,B-NP
914,new,I-NP
915,government,I-NP
916,will,B-VP
917,have,I-VP
918,to,I-VP
919,take,I-VP
920,into,B-PP
921,account,B-NP
922,.,O
923,'',O
924,Nil,Nil
925,Also,B-ADVP
926,",",O
927,profit,B-NP
928,rose,B-VP
929,19,B-NP
930,%,I-NP
931,in,B-PP
932,the,B-NP
933,third,I-NP
934,quarter,I-NP
935,.,O
936,Nil,Nil
937,Nil,Nil
938,Two,B-NP
939,election,I-NP
940,commission,I-NP
941,members,I-NP
942,opposed,B-VP
943,the,B-NP
944,matching,I-NP
945,plans,I-NP
946,.,O
947,Nil,Nil
948,An,B-NP
949,accelerating,I-NP
950,move,I-NP
951,by,B-PP
952,personal,B-NP
953,computer,I-NP
954,manufacturers,I-NP
955,',B-NP
956,to,B-VP
957,include,I-VP
958,advanced,B-NP
959,graphics,I-NP
960,capabilities,I-NP
961,as,B-PP
962,standard,B-NP
963,Nil,Nil
964,equipment,I-NP
965,further,B-ADVP
966,dampened,B-VP
967,reseller,B-NP
968,purchases,I-NP
969,of,B-PP
970,Western,B-NP
971,Digital,I-NP
972,'s,B-NP
973,equipment,I-NP
974,.,O
975,Nil,Nil
976,When,B-ADVP
977,the,B-NP
978,Nil,Nil
979,IAFP,I-NP
980,recently,B-ADVP
981,assembled,B-VP
982,other,B-NP
983,industry,I-NP
984,groups,I-NP
985,to,B-VP
986,discuss,I-VP
987,common,B-NP
988,standards,I-NP
989,Nil,Nil
990,that,B-NP
991,might,B-VP
992,be,I-VP
993,applied,I-VP
994,to,B-PP
995,planners,B-NP
996,",",O
997,Mr.,B-NP
998,Gargan,I-NP
999,'s,B-NP
1000,group,I-NP
1001,was,B-VP
1002,excluded,I-VP
1003,.,O
1004,Nil,Nil
1005,Mr.,B-NP
1006,Peake,I-NP
1007,is,B-VP
1008,chairman,B-NP
1009,of,B-PP
1010,his,B-NP
1011,own,I-NP
1012,consulting,I-NP
1013,company,I-NP
1014,in,B-PP
1015,Englewood,B-NP
1016,",",O
1017,N.J,B-NP
1018,.,O
1019,Nil,Nil
1020,Nil,Nil
1021,CALL,B-NP
1022,MONEY,I-NP
1023,:,O
1024,9,B-NP
1025,3\/4,I-NP
1026,%,I-NP
1027,to,O
1028,10,B-NP
1029,%,I-NP
1030,.,O
1031,Nil,Nil
1032,The,B-NP
1033,forces,I-NP
1034,at,B-PP
1035,work,B-NP
1036,included,B-VP
1037,computer-guided,B-NP
1038,trading,I-NP
1039,",",O
1040,as,B-CONJP
1041,well,I-CONJP
1042,as,I-CONJP
1043,profit-driven,B-NP
1044,market,I-NP
1045,makers,I-NP
1046,and,O
1047,institutional,B-NP
1048,investors,I-NP
1049,who,B-NP
1050,had,B-VP
1051,bought,I-VP
1052,stock,B-NP
1053,on,B-PP
1054,the,B-NP
1055,cheap,I-NP
1056,during,B-PP
1057,Nil,Nil
1058,the,B-NP
1059,recent,I-NP
1060,correction,I-NP
1061,.,O
1062,Nil,Nil
1063,``,O
1064,The,B-NP
1065,thing,I-NP
1066,is,B-VP
1067,so,B-ADJP
1068,fluid,I-ADJP
1069,right,B-ADVP
1070,now,I-ADVP
1071,that,B-SBAR
1072,there,B-NP
1073,'s,B-VP
1074,really,B-NP
1075,Nil,Nil
1076,no,I-NP
1077,way,I-NP
1078,to,B-VP
1079,say,I-VP
1080,what,B-NP
1081,will,B-VP
1082,happen,I-VP
1083,",",O
1084,'',O
1085,says,B-VP
1086,Justice,B-NP
1087,Department,I-NP
1088,attorney,I-NP
1089,Grover,I-NP
1090,Hartt,I-NP
1091,III,I-NP
1092,",",O
1093,who,B-NP
1094,represents,B-VP
1095,the,B-NP
1096,IRS,I-NP
1097,in,B-PP
1098,the,B-NP
1099,case,I-NP
1100,Nil,Nil
1101,.,O
1102,Nil,Nil
1103,That,B-NP
1104,rose,B-VP
1105,to,B-PP
1106,nearly,B-NP
1107,Nil,Nil
1108,18,I-NP
1109,%,I-NP
1110,during,B-PP
1111,the,B-NP
1112,Depression,I-NP
1113,",",O
1114,and,O
1115,has,B-VP
1116,n't,I-VP
1117,changed,I-VP
1118,much,B-ADVP
1119,since,B-ADVP
1120,.,O
1121,Nil,Nil
1122,Mr.,B-NP
1123,Maynard,I-NP
1124,initially,B-ADVP
1125,won,B-VP
1126,approval,B-NP
1127,for,B-SBAR
1128,his,B-NP
1129,machine,I-NP
1130,to,B-VP
1131,be,I-VP
1132,used,I-VP
1133,at,B-PP
1134,egg-processing,B-NP
1135,facilities,I-NP
1136,regulated,B-VP
1137,by,B-PP
1138,the,B-NP
1139,USDA,I-NP
1140,'s,B-NP
1141,Food,I-NP
1142,Safety,I-NP
1143,Inspection,I-NP
1144,Service,I-NP
1145,.,O
1146,Nil,Nil
1147,Nil,Nil
1148,Fanuc,B-NP
1149,gained,B-VP
1150,100,B-NP
1151,to,B-PP
1152,"7,580",B-NP
1153,.,O
1154,Nil,Nil
1155,Forecasts,B-NP
1156,for,B-PP
1157,the,B-NP
1158,trade,I-NP
1159,figures,I-NP
1160,range,B-VP
1161,widely,B-ADVP
1162,",",O
1163,but,O
1164,few,B-NP
1165,economists,I-NP
1166,expect,B-VP
1167,the,B-NP
1168,data,I-NP
1169,to,B-VP
1170,show,I-VP
1171,Nil,Nil
1172,a,B-NP
1173,very,I-NP
1174,marked,I-NP
1175,improvement,I-NP
1176,from,B-PP
1177,the,O
1178,#,O
1179,2,O
1180,billion,O
1181,-LRB-,O
1182,$,B-ADJP
1183,3.2,O
1184,billion,O
1185,-RRB-,O
1186,deficit,B-NP
1187,in,B-PP
1188,the,B-NP
1189,current,I-NP
1190,account,I-NP
1191,reported,B-VP
1192,for,B-PP
1193,August,B-NP
1194,.,O
1195,Nil,Nil
1196,Fox,B-NP
1197,said,B-VP
1198,it,B-NP
1199,plans,B-VP
1200,to,I-VP
1201,offer,I-VP
1202,its,B-NP
1203,stations,I-NP
1204,movies,B-NP
1205,",",O
1206,theatrical,B-NP
1207,and,I-NP
1208,made-for-TV,I-NP
1209,ventures,I-NP
1210,Nil,Nil
1211,",",O
1212,probably,B-ADVP
1213,on,B-PP
1214,Wednesdays,B-NP
1215,",",O
1216,sometime,B-ADVP
1217,next,B-NP
1218,year,I-NP
1219,.,O
1220,Nil,Nil
1221,Nil,Nil
1222,The,B-NP
1223,most-strident,I-NP
1224,anti-outsider,I-NP
1225,sentiment,I-NP
1226,among,B-PP
1227,bankers,B-NP
1228,comes,B-VP
1229,from,B-PP
1230,the,B-NP
1231,Independent,I-NP
1232,Bankers,I-NP
1233,Association,I-NP
1234,of,B-PP
1235,Texas,B-NP
1236,",",O
1237,although,B-SBAR
1238,it,B-NP
1239,'s,B-VP
1240,hard,B-ADJP
1241,to,B-VP
1242,tell,I-VP
1243,from,B-PP
1244,previews,B-NP
1245,of,B-PP
1246,the,O
1247,$,O
1248,5,O
1249,million,O
1250,``,O
1251,The,B-NP
1252,I,I-NP
1253,'s,I-NP
1254,of,B-PP
1255,Texas,B-NP
1256,'',B-NP
1257,Nil,Nil
1258,TV,I-NP
1259,campaign,I-NP
1260,.,O
1261,Nil,Nil
1262,So-called,B-NP
1263,living-benefits,I-NP
1264,provisions,I-NP
1265,also,B-ADVP
1266,merit,B-VP
1267,a,B-NP
1268,close,I-NP
1269,inspection,I-NP
1270,.,O
1271,Nil,Nil
1272,It,B-NP
1273,would,B-VP
1274,go,I-VP
1275,along,B-PRT
1276,doing,B-VP
1277,nothing,B-NP
1278,but,B-PP
1279,dissociating,B-VP
1280,the,B-NP
1281,heavy,I-NP
1282,water,I-NP
1283,and,O
1284,then,B-ADVP
1285,at,B-PP
1286,totally,B-NP
1287,Nil,Nil
1288,unpredictable,I-NP
1289,times,I-NP
1290,",",O
1291,it,B-NP
1292,would,B-VP
1293,begin,I-VP
1294,producing,I-VP
1295,excess,B-NP
1296,heat,I-NP
1297,for,B-PP
1298,as,B-NP
1299,long,I-NP
1300,as,I-NP
1301,10,I-NP
1302,or,I-NP
1303,11,I-NP
1304,hours,I-NP
1305,before,B-PP
1306,quieting,B-VP
1307,down,B-PRT
1308,.,O
1309,Nil,Nil
1310,These,B-NP
1311,and,I-NP
1312,other,I-NP
1313,modern,I-NP
1314,trading,I-NP
1315,methods,I-NP
1316,``,O
1317,tend,B-VP
1318,to,I-VP
1319,promote,I-VP
1320,dramatic,B-NP
1321,Nil,Nil
1322,shifts,I-NP
1323,in,B-PP
1324,assets,B-NP
1325,",",O
1326,'',O
1327,says,B-VP
1328,George,B-NP
1329,Douglas,I-NP
1330,",",O
1331,first,B-NP
1332,vice,I-NP
1333,president,I-NP
1334,at,B-PP
1335,Drexel,B-NP
1336,Burnham,I-NP
1337,Lambert,I-NP
1338,Inc,I-NP
1339,.,O
1340,Nil,Nil
1341,Executives,B-NP
1342,at,B-PP
1343,Olivetti,B-NP
1344,",",O
1345,whose,B-NP
1346,earnings,I-NP
1347,have,B-VP
1348,been,I-VP
1349,steadily,I-VP
1350,sliding,I-VP
1351,over,B-PP
1352,the,B-NP
1353,past,I-NP
1354,couple,I-NP
1355,of,B-PP
1356,years,B-NP
1357,",",O
1358,have,B-VP
1359,acknowledged,I-VP
1360,Nil,Nil
1361,that,B-SBAR
1362,in,B-PP
1363,the,B-NP
1364,past,I-NP
1365,they,B-NP
1366,have,B-VP
1367,lagged,I-VP
1368,at,B-PP
1369,getting,B-VP
1370,new,B-NP
1371,technology,I-NP
1372,to,B-PP
1373,market,B-NP
1374,.,O
1375,Nil,Nil
1376,Tom,B-NP
1377,Schumacher,I-NP
1378,",",O
1379,executive,B-NP
1380,vice,I-NP
1381,president,I-NP
1382,and,O
1383,general,B-NP
1384,manager,I-NP
1385,Nil,Nil
1386,of,B-PP
1387,the,B-NP
1388,California,I-NP
1389,Trucking,I-NP
1390,Association,I-NP
1391,in,B-PP
1392,Sacremento,B-NP
1393,",",O
1394,said,B-VP
1395,his,B-NP
1396,organization,I-NP
1397,urged,B-VP
1398,trucking,B-NP
1399,firms,I-NP
1400,to,B-VP
1401,halt,I-VP
1402,all,B-NP
1403,deliveries,I-NP
1404,into,B-PP
1405,the,B-NP
1406,Bay,I-NP
1407,area,I-NP
1408,Nil,Nil
1409,yesterday,B-NP
1410,",",O
1411,except,B-PP
1412,for,B-PP
1413,emergency-medical,B-NP
1414,supplies,I-NP
1415,.,O
1416,Nil,Nil
1417,Real-estate,B-NP
1418,interests,I-NP
1419,",",O
1420,for,B-PP
1421,example,B-NP
1422,",",O
1423,are,B-VP
1424,protesting,I-VP
1425,an,B-NP
1426,omission,I-NP
